year,group_label,Before_Tax_Income,Net_Worth,Retirement_Accounts,Transaction_Accounts,Debt,Education_Installment_Loans,Credit_Card_Balances
2004,Less than 35,51.622604,22.312101,17.284021,2.8298657,53.42334,14.455728,2.3569121
2004,35-44,79.047112,109.12503,43.995689,4.7138243,137.01515,15.712747,3.9281867
2004,45-54,96.792381,227.99196,87.205742,7.5122643,130.4158,10.841795,4.5566964
2004,55-64,85.499939,395.96121,130.4158,10.52754,73.849907,14.141472,3.4568043
2004,65-74,52.429207,298.85645,125.70197,8.6420107,39.281868,3.1425493,3.4568043
2004,75 or older,37.103748,256.2749,47.138241,10.150434,24.19763,7.8563733,1.5712746
2007,Less than 35,52.979446,16.757017,13.737606,3.3199215,51.716362,18.603008,2.7189012
2007,35-44,80.940826,126.85821,52.947025,4.9369521,151.68607,18.603008,5.0085025
2007,45-54,91.242386,264.73654,90.153038,7.1550031,137.27589,17.172009,5.1516023
2007,55-64,77.99752,363.04486,143.10007,7.4412036,86.203476,10.017005,5.1516023
2007,65-74,55.922752,342.58154,110.18705,10.875605,57.426056,25.758011,4.2930021
2007,75 or older,32.567642,305.08932,50.085022,8.8722038,18.603008,28.620012,1.1448005
2010,Less than 35,47.189507,12.701873,14.477404,2.7998753,54.536106,17.755306,2.1852684
2010,35-44,73.560112,57.856346,42.339577,3.3461924,147.50562,19.121099,4.7802749
2010,45-54,83.275604,160.00262,81.947563,4.7802749,125.65293,16.389513,4.7802749
2010,55-64,74.948044,244.06717,136.57927,6.8289638,105.16605,21.442945,3.8242197
2010,65-74,58.292919,282.2684,136.57927,7.7850189,60.914356,13.657928,2.9364545
2010,75 or older,38.861946,296.24045,73.752808,9.8337078,40.973782,16.389513,2.458427
2013,Less than 35,45.223541,13.313833,15.273996,2.8002326,39.457825,22.020012,1.9092495
2013,35-44,77.52607,59.886795,54.349972,4.8367658,122.82839,21.638163,3.1820827
2013,45-54,77.52607,134.09296,110.73647,5.091332,127.2833,17.819662,3.309366
2013,55-64,69.773468,210.9339,132.37463,6.3641653,80.697617,24.183828,3.8184991
2013,65-74,58.144554,295.42456,189.65213,8.909831,56.004654,21.638163,2.927516
2013,75 or older,36.178833,248.20244,87.825478,8.909831,25.456661,6.3641653,2.4183829
